Year,Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second Year,2,5,9,Right-handed,Right leg in first,On your right side,"Cat, Dog, Fish, Snake, Lizard",-3
First Year,2,3,8,Right-handed,I don't know,On your back,None,-1
First Year,5,5,8,Right-handed,Right leg in first,On your left side,Bearded dragon,0
Third Year,8,4,5,Right-handed,I don't know,On your back,Bird,0
First Year,3,15,6,Left-handed,Right leg in first,On your back,Bird,0
Second Year,3,1,10,Right-handed,Right leg in first,On your back,Bird,0
First Year,8,7,7,Left-handed,Right leg in first,On your left side,Bird,0
First Year,6,3,7,Right-handed,I don't know,On your right side,Bird,0
Second Year,8,5,7,Right-handed,Left leg in first,On your right side,Bird,0
First Year,3,2,7,Left-handed,Right leg in first,On your right side,Bird,0
First Year,1,2,8,Right-handed,Right leg in first,On your right side,Bird,0
Second Year,6,3,6,Right-handed,I don't know,On your back,Cat,0
First Year,5,5,6,Right-handed,I don't know,On your back,Cat,0
Second Year,4,3,9,Right-handed,I don't know,On your back,Cat,0
First Year,7,10,7,Left-handed,Left leg in first,On your back,Cat,0
Second Year,6,12,6,Right-handed,Left leg in first,On your back,Cat,0
Third Year,3,4,7,Right-handed,Left leg in first,On your back,Cat,0
Second Year,4,8,7,Right-handed,Left leg in first,On your back,Cat,0
Second Year,7,4,8,Right-handed,Left leg in first,On your back,Cat,0
Second Year,6,3,8,Left-handed,Right leg in first,On your back,Cat,0
First Year,8,5,10,Left-handed,Right leg in first,On your back,Cat,0
Third Year,7,4,6,Right-handed,Right leg in first,On your back,Cat,0
Fourth Year,8,10,6.5,Right-handed,Right leg in first,On your back,Cat,0
Second Year,7,3,7,Right-handed,Right leg in first,On your back,Cat,0
Second Year,4,1,8,Right-handed,Right leg in first,On your back,Cat,0
Fourth Year,5,2,8,Right-handed,Right leg in first,On your back,Cat,0
Second Year,3,2,8,Right-handed,Right leg in first,On your back,Cat,0
Second Year,5,4,8,Right-handed,Right leg in first,On your back,Cat,0
Third Year,9,9,9,Right-handed,Right leg in first,On your back,Cat,0
Fifth Year or above,3,1,6.5,Right-handed,I don't know,On your left side,Cat,0
Third Year,8,8,7,Right-handed,I don't know,On your left side,Cat,0
Second Year,8,20,8,Right-handed,I don't know,On your left side,Cat,0
Second Year,3,4,9,Right-handed,I don't know,On your left side,Cat,0
Second Year,5,3,5,Right-handed,Left leg in first,On your left side,Cat,0
First Year,5,4,7,Right-handed,Left leg in first,On your left side,Cat,0
First Year,7,10,7,Right-handed,Left leg in first,On your left side,Cat,0
First Year,6,3,7.5,Right-handed,Left leg in first,On your left side,Cat,0
First Year,3,3,8,Right-handed,Left leg in first,On your left side,Cat,0
Second Year,4,9,8,Right-handed,Left leg in first,On your left side,Cat,0
Second Year,6,7,6,Right-handed,Right leg in first,On your left side,Cat,0
First Year,2,3,8,Right-handed,Right leg in first,On your left side,Cat,0
First Year,5,10,8,Left-handed,I don't know,On your right side,Cat,0
First Year,4,5,7,Right-handed,I don't know,On your right side,Cat,0
Third Year,7,5,8,Right-handed,I don't know,On your right side,Cat,0
First Year,4,5,8,Right-handed,I don't know,On your right side,Cat,0
First Year,4,3,7,Left-handed,Left leg in first,On your right side,Cat,0
Third Year,6,5,7,Left-handed,Left leg in first,On your right side,Cat,0
Second Year,7,4,8,Left-handed,Left leg in first,On your right side,Cat,0
Fourth Year,1,2,6,Right-handed,Left leg in first,On your right side,Cat,0
Second Year,4,3,7,Right-handed,Left leg in first,On your right side,Cat,0
Second Year,9,7,7,Right-handed,Left leg in first,On your right side,Cat,0
Second Year,8,14,7,Right-handed,Left leg in first,On your right side,Cat,0
Third Year,10,4,8,Right-handed,Left leg in first,On your right side,Cat,0
Third Year,7,15,8,Right-handed,Left leg in first,On your right side,Cat,0
Second Year,1,3,5,Right-handed,Right leg in first,On your right side,Cat,0
Third Year,3,5,5,Right-handed,Right leg in first,On your right side,Cat,0
Fourth Year,2,2,6,Right-handed,Right leg in first,On your right side,Cat,0
Second Year,4,3,7,Right-handed,Right leg in first,On your right side,Cat,0
Third Year,3,4,7,Right-handed,Right leg in first,On your right side,Cat,0
Third Year,2,4,7,Right-handed,Right leg in first,On your right side,Cat,0
Fourth Year,3,10,7,Right-handed,Right leg in first,On your right side,Cat,0
First Year,8,8,7.5,Right-handed,Right leg in first,On your right side,Cat,0
Third Year,4,3,8,Right-handed,Right leg in first,On your right side,Cat,0
Third Year,4,5,8,Right-handed,I don't know,On your stomach,Cat,0
Third Year,7,5,6,Right-handed,Left leg in first,On your stomach,Cat,0
First Year,4,1,7,Right-handed,Left leg in first,On your stomach,Cat,0
Fourth Year,5,1,7,Right-handed,Right leg in first,On your stomach,Cat,0
First Year,3,6,7,Right-handed,Right leg in first,On your stomach,Cat,0
Second Year,2,3,8,Right-handed,Right leg in first,On your stomach,Cat,0
First Year,6,7,7,Right-handed,Left leg in first,On your left side,"Cat, Bird",0
First Year,8,20,5,Left-handed,I don't know,On your back,"Cat, Dog",0
Third Year,3,3,5,Left-handed,Left leg in first,On your back,"Cat, Dog",0
Fourth Year,3,5,6,Right-handed,Left leg in first,On your back,"Cat, Dog",0
Third Year,4,4,8,Right-handed,Left leg in first,On your back,"Cat, Dog",0
Fourth Year,8,13,8,Right-handed,Right leg in first,On your back,"Cat, Dog",0
Second Year,5,3,7,Right-handed,Left leg in first,On your left side,"Cat, Dog",0
First Year,5,6,7,Right-handed,Left leg in first,On your left side,"Cat, Dog",0
First Year,7,15,8,Right-handed,Left leg in first,On your left side,"Cat, Dog",0
First Year,7,4,8,Right-handed,I don't know,On your right side,"Cat, Dog",0
Second Year,4,5,8,Right-handed,I don't know,On your right side,"Cat, Dog",0
Second Year,7,10,8,Right-handed,I don't know,On your right side,"Cat, Dog",0
First Year,6,10,9,Right-handed,I don't know,On your right side,"Cat, Dog",0
Third Year,6,2,6,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
First Year,8,10,6,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
Second Year,7,10,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
Second Year,3,2,7.5,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
First Year,8,2,8,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
First Year,7,3,8,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
Third Year,10,5,5,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Second Year,2,1,6,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Third Year,7,10,6,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Second Year,6,2,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Fourth Year,4,15,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
First Year,9,20,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Fourth Year,7,4,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
First Year,3,4,9,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
First Year,7,5,8,Right-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second Year,3,2,8,Right-handed,Right leg in first,On your stomach,"Cat, Dog",0
Second Year,5,20,8.5,Right-handed,Right leg in first,On your stomach,"Cat, Dog",0
Second Year,4,4,8,Right-handed,Left leg in first,On your stomach,"Cat, Dog, Bird",0
Third Year,9,5,5,Right-handed,Left leg in first,On your right side,"Cat, Dog, Brother ",0
Second Year,8,3,7,Right-handed,Right leg in first,On your back,"Cat, Dog, Chickens",0
Fourth Year,6,9,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Fish",0
Second Year,6,10,9,Right-handed,Left leg in first,On your right side,"Cat, Dog, Fish",0
Third Year,4,2,7,Right-handed,Left leg in first,On your stomach,"Cat, Dog, Fish",0
Second Year,5,0,7,Right-handed,Right leg in first,On your back,"Cat, Dog, Fish, frog, goat, and horses",0
Second Year,7,5,8,Right-handed,Right leg in first,On your left side,"Cat, Dog, Snake, Hamster or Guinea Pig",0
First Year,5,7,6,Right-handed,Right leg in first,On your back,"Cat, Fish",0
Third Year,4,5,7,Right-handed,Right leg in first,On your left side,"Cat, Fish, Turtle",0
Third Year,6,0,8,Right-handed,Left leg in first,On your left side,"Cat, Fish, Turtle, Hamster or Guinea Pig",0
First Year,8,3,7,Right-handed,Left leg in first,On your back,"Cat, Rabbit",0
Second Year,6,5,7,Right-handed,Left leg in first,On your left side,"Cat, Rabbit",0
Third Year,3,10,8,Right-handed,Right leg in first,On your stomach,"Cat, Turtle",0
Third Year,2,3,7,Right-handed,Right leg in first,On your right side,Chicken,0
Second Year,4,7,7,Right-handed,I don't know,On your back,Chickens,0
Second Year,5,20,7,Right-handed,I don't know,On your back,chimpanzee,0
First Year,5,4,7,Right-handed,Left leg in first,On your right side,Chinchilla,0
First Year,4,5,6,Right-handed,I don't know,On your back,Dog,0
First Year,4,5,7,Right-handed,I don't know,On your back,Dog,0
Second Year,3,6,7,Right-handed,I don't know,On your back,Dog,0
Second Year,7,1000,7,Right-handed,I don't know,On your back,Dog,0
First Year,1,1,8,Right-handed,I don't know,On your back,Dog,0
First Year,5,2,8,Right-handed,I don't know,On your back,Dog,0
First Year,4,3,8,Right-handed,I don't know,On your back,Dog,0
Third Year,5,5,8,Right-handed,I don't know,On your back,Dog,0
First Year,8,7,9,Right-handed,I don't know,On your back,Dog,0
Third Year,1,3,5,Left-handed,Left leg in first,On your back,Dog,0
First Year,4,4,6,Left-handed,Left leg in first,On your back,Dog,0
Third Year,10,5,8,Left-handed,Left leg in first,On your back,Dog,0
Second Year,8,4,5,Right-handed,Left leg in first,On your back,Dog,0
Second Year,4,4,5,Right-handed,Left leg in first,On your back,Dog,0
First Year,6,25,6,Right-handed,Left leg in first,On your back,Dog,0
Second Year,3,7,7,Right-handed,Left leg in first,On your back,Dog,0
First Year,9,10,7,Right-handed,Left leg in first,On your back,Dog,0
Fourth Year,7,5,8,Right-handed,Left leg in first,On your back,Dog,0
First Year,8,10,8,Right-handed,Left leg in first,On your back,Dog,0
First Year,4,10,8,Right-handed,Left leg in first,On your back,Dog,0
First Year,6,6,9,Right-handed,Left leg in first,On your back,Dog,0
Second Year,1,0,10,Right-handed,Left leg in first,On your back,Dog,0
First Year,7,2,6,Right-handed,Right leg in first,On your back,Dog,0
Second Year,5,5,6,Right-handed,Right leg in first,On your back,Dog,0
Third Year,3,2,7,Right-handed,Right leg in first,On your back,Dog,0
First Year,4,3,7,Right-handed,Right leg in first,On your back,Dog,0
First Year,6,4,7,Right-handed,Right leg in first,On your back,Dog,0
Third Year,8,5,7,Right-handed,Right leg in first,On your back,Dog,0
Third Year,3,5,7,Right-handed,Right leg in first,On your back,Dog,0
First Year,7,15,7,Right-handed,Right leg in first,On your back,Dog,0
Third Year,6,2,8,Right-handed,Right leg in first,On your back,Dog,0
Third Year,4,2,8,Right-handed,Right leg in first,On your back,Dog,0
Fourth Year,8,4,8,Right-handed,Right leg in first,On your back,Dog,0
First Year,3,4,8,Right-handed,Right leg in first,On your back,Dog,0
Second Year,4,5,8,Right-handed,Right leg in first,On your back,Dog,0
First Year,8,15,8,Right-handed,Right leg in first,On your back,Dog,0
First Year,3,2,10,Right-handed,Right leg in first,On your back,Dog,0
Second Year,4,2,6,Right-handed,I don't know,On your left side,Dog,0
Third Year,7,3,7,Right-handed,I don't know,On your left side,Dog,0
Third Year,8,5,7.5,Right-handed,I don't know,On your left side,Dog,0
First Year,2,3,7,Left-handed,Left leg in first,On your left side,Dog,0
First Year,2,16,7,Left-handed,Left leg in first,On your left side,Dog,0
First Year,8,5,7.5,Left-handed,Left leg in first,On your left side,Dog,0
First Year,9,4,8,Left-handed,Left leg in first,On your left side,Dog,0
First Year,8,5,8,Left-handed,Left leg in first,On your left side,Dog,0
Second Year,7,5,6,Right-handed,Left leg in first,On your left side,Dog,0
First Year,4,7,6,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,7,10,6,Right-handed,Left leg in first,On your left side,Dog,0
First Year,2,3,6.5,Right-handed,Left leg in first,On your left side,Dog,0
Third Year,3,2,7,Right-handed,Left leg in first,On your left side,Dog,0
Fourth Year,5,3,7,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,4,3,7,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,7,5,7,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,6,5,7,Right-handed,Left leg in first,On your left side,Dog,0
Third Year,6,5,7,Right-handed,Left leg in first,On your left side,Dog,0
Third Year,3,6,7,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,8,7,7,Right-handed,Left leg in first,On your left side,Dog,0
First Year,3,12,7,Right-handed,Left leg in first,On your left side,Dog,0
Third Year,3,3,8,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,4,4,8,Right-handed,Left leg in first,On your left side,Dog,0
First Year,4,6,8,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,7,10,8,Right-handed,Left leg in first,On your left side,Dog,0
First Year,6,12,8,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,9,15,8,Right-handed,Left leg in first,On your left side,Dog,0
First Year,10,50,8,Right-handed,Left leg in first,On your left side,Dog,0
First Year,8,4,9,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,3,10,9,Right-handed,Left leg in first,On your left side,Dog,0
Second Year,5,6,7,Left-handed,Right leg in first,On your left side,Dog,0
Third Year,7,3,6,Right-handed,Right leg in first,On your left side,Dog,0
Third Year,8,4,6,Right-handed,Right leg in first,On your left side,Dog,0
First Year,8,5,6,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,7,5,6,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,2,5,6,Right-handed,Right leg in first,On your left side,Dog,0
First Year,7,3,7,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,4,3,7,Right-handed,Right leg in first,On your left side,Dog,0
Third Year,4,3,7,Right-handed,Right leg in first,On your left side,Dog,0
Third Year,3,4,7,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,9,5,7,Right-handed,Right leg in first,On your left side,Dog,0
First Year,6,5,7,Right-handed,Right leg in first,On your left side,Dog,0
First Year,4,6,7,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,6,8,7,Right-handed,Right leg in first,On your left side,Dog,0
First Year,7,10,7,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,8,2,8,Right-handed,Right leg in first,On your left side,Dog,0
First Year,4,3,8,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,6,5,8,Right-handed,Right leg in first,On your left side,Dog,0
First Year,8,10,8,Right-handed,Right leg in first,On your left side,Dog,0
First Year,7,20,5,Right-handed,I don't know,On your right side,Dog,0
Third Year,3,2,6,Right-handed,I don't know,On your right side,Dog,0
